Timestamp,Color,Facultad
2024-11-13 17:31:45,Cian,Facultad de Ingenieria
2024-11-13 17:31:45,Cian,Facultad de Ingenieria
2024-11-13 17:31:46,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:31:45,Cian,Facultad de Ingenieria
2024-11-13 17:31:46,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:32:39,Cian,Facultad de Ingenieria
2024-11-13 17:31:45,Cian,Facultad de Ingenieria
2024-11-13 17:31:46,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:32:39,Cian,Facultad de Ingenieria
2024-11-13 17:32:39,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:36:27,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:36:27,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:36:27,Cian,Facultad de Ingenieria
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:36:27,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:36:27,Cian,Facultad de Ingenieria
2024-11-13 17:36:32,Cian,Facultad de Ingenieria
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:36:27,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:36:27,Cian,Facultad de Ingenieria
2024-11-13 17:36:32,Cian,Facultad de Ingenieria
2024-11-13 17:36:37,Cian,Facultad de Ingenieria
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:36:27,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:36:27,Cian,Facultad de Ingenieria
2024-11-13 17:36:32,Cian,Facultad de Ingenieria
2024-11-13 17:36:37,Cian,Facultad de Ingenieria
2024-11-13 17:36:43,Cian,Facultad de Ingenieria
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:36:27,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:36:27,Cian,Facultad de Ingenieria
2024-11-13 17:36:32,Cian,Facultad de Ingenieria
2024-11-13 17:36:37,Cian,Facultad de Ingenieria
2024-11-13 17:36:43,Cian,Facultad de Ingenieria
2024-11-13 17:36:50,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:36:27,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:36:27,Cian,Facultad de Ingenieria
2024-11-13 17:36:32,Cian,Facultad de Ingenieria
2024-11-13 17:36:37,Cian,Facultad de Ingenieria
2024-11-13 17:36:43,Cian,Facultad de Ingenieria
2024-11-13 17:36:50,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:21,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:36:27,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:36:27,Cian,Facultad de Ingenieria
2024-11-13 17:36:32,Cian,Facultad de Ingenieria
2024-11-13 17:36:37,Cian,Facultad de Ingenieria
2024-11-13 17:36:43,Cian,Facultad de Ingenieria
2024-11-13 17:36:50,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:21,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:38,Cian,Facultad de Ingenieria
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:36:27,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:36:27,Cian,Facultad de Ingenieria
2024-11-13 17:36:32,Cian,Facultad de Ingenieria
2024-11-13 17:36:37,Cian,Facultad de Ingenieria
2024-11-13 17:36:43,Cian,Facultad de Ingenieria
2024-11-13 17:36:50,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:21,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:38,Cian,Facultad de Ingenieria
2024-11-13 17:37:41,Azul Claro,Facultad de Ingenieria
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:36:27,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:36:27,Cian,Facultad de Ingenieria
2024-11-13 17:36:32,Cian,Facultad de Ingenieria
2024-11-13 17:36:37,Cian,Facultad de Ingenieria
2024-11-13 17:36:43,Cian,Facultad de Ingenieria
2024-11-13 17:36:50,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:21,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:38,Cian,Facultad de Ingenieria
2024-11-13 17:37:41,Azul Claro,Facultad de Ingenieria
2024-11-13 17:37:46,Cian,Facultad de Ingenieria
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:36:27,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:36:27,Cian,Facultad de Ingenieria
2024-11-13 17:36:32,Cian,Facultad de Ingenieria
2024-11-13 17:36:37,Cian,Facultad de Ingenieria
2024-11-13 17:36:43,Cian,Facultad de Ingenieria
2024-11-13 17:36:50,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:21,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:38,Cian,Facultad de Ingenieria
2024-11-13 17:37:41,Azul Claro,Facultad de Ingenieria
2024-11-13 17:37:46,Cian,Facultad de Ingenieria
2024-11-13 17:37:51,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:36:27,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:36:27,Cian,Facultad de Ingenieria
2024-11-13 17:36:32,Cian,Facultad de Ingenieria
2024-11-13 17:36:37,Cian,Facultad de Ingenieria
2024-11-13 17:36:43,Cian,Facultad de Ingenieria
2024-11-13 17:36:50,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:21,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:38,Cian,Facultad de Ingenieria
2024-11-13 17:37:41,Azul Claro,Facultad de Ingenieria
2024-11-13 17:37:46,Cian,Facultad de Ingenieria
2024-11-13 17:37:51,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:38:03,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:36:27,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:36:27,Cian,Facultad de Ingenieria
2024-11-13 17:36:32,Cian,Facultad de Ingenieria
2024-11-13 17:36:37,Cian,Facultad de Ingenieria
2024-11-13 17:36:43,Cian,Facultad de Ingenieria
2024-11-13 17:36:50,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:21,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:38,Cian,Facultad de Ingenieria
2024-11-13 17:37:41,Azul Claro,Facultad de Ingenieria
2024-11-13 17:37:46,Cian,Facultad de Ingenieria
2024-11-13 17:37:51,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:38:03,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:38:19,Cian,Facultad de Ingenieria
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
2024-11-13 17:36:27,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:36:27,Cian,Facultad de Ingenieria
2024-11-13 17:36:32,Cian,Facultad de Ingenieria
2024-11-13 17:36:37,Cian,Facultad de Ingenieria
2024-11-13 17:36:43,Cian,Facultad de Ingenieria
2024-11-13 17:36:50,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:21,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:37:38,Cian,Facultad de Ingenieria
2024-11-13 17:37:41,Azul Claro,Facultad de Ingenieria
2024-11-13 17:37:46,Cian,Facultad de Ingenieria
2024-11-13 17:37:51,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:38:03,Azul Muy Claro,Facultad de Medicina
2024-11-13 17:38:19,Cian,Facultad de Ingenieria
2024-11-13 17:38:24,Cian,Facultad de Ingenieria
2024-11-13 17:35:22,Cian,Facultad de Ingenieria
2024-11-13 17:35:30,Cian,Facultad de Ingenieria
2024-11-13 17:36:21,Cian,Facultad de Ingenieria
