Timestamp,Color
2024-11-13 17:31:45,Cian
2024-11-13 17:31:45,Cian
2024-11-13 17:31:46,Azul Muy Claro
2024-11-13 17:31:45,Cian
2024-11-13 17:31:46,Azul Muy Claro
2024-11-13 17:32:39,Cian
2024-11-13 17:31:45,Cian
2024-11-13 17:31:46,Azul Muy Claro
2024-11-13 17:32:39,Cian
2024-11-13 17:32:39,Azul Muy Claro
2024-11-13 17:35:22,Cian
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:36:27,Cian
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:36:27,Cian
2024-11-13 17:36:32,Cian
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:36:27,Cian
2024-11-13 17:36:32,Cian
2024-11-13 17:36:37,Cian
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:36:27,Cian
2024-11-13 17:36:32,Cian
2024-11-13 17:36:37,Cian
2024-11-13 17:36:43,Cian
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:36:27,Cian
2024-11-13 17:36:32,Cian
2024-11-13 17:36:37,Cian
2024-11-13 17:36:43,Cian
2024-11-13 17:36:50,Azul Muy Claro
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:36:27,Cian
2024-11-13 17:36:32,Cian
2024-11-13 17:36:37,Cian
2024-11-13 17:36:43,Cian
2024-11-13 17:36:50,Azul Muy Claro
2024-11-13 17:37:21,Azul Muy Claro
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:36:27,Cian
2024-11-13 17:36:32,Cian
2024-11-13 17:36:37,Cian
2024-11-13 17:36:43,Cian
2024-11-13 17:36:50,Azul Muy Claro
2024-11-13 17:37:21,Azul Muy Claro
2024-11-13 17:37:38,Cian
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:36:27,Cian
2024-11-13 17:36:32,Cian
2024-11-13 17:36:37,Cian
2024-11-13 17:36:43,Cian
2024-11-13 17:36:50,Azul Muy Claro
2024-11-13 17:37:21,Azul Muy Claro
2024-11-13 17:37:38,Cian
2024-11-13 17:37:41,Azul Claro
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:36:27,Cian
2024-11-13 17:36:32,Cian
2024-11-13 17:36:37,Cian
2024-11-13 17:36:43,Cian
2024-11-13 17:36:50,Azul Muy Claro
2024-11-13 17:37:21,Azul Muy Claro
2024-11-13 17:37:38,Cian
2024-11-13 17:37:41,Azul Claro
2024-11-13 17:37:46,Cian
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:36:27,Cian
2024-11-13 17:36:32,Cian
2024-11-13 17:36:37,Cian
2024-11-13 17:36:43,Cian
2024-11-13 17:36:50,Azul Muy Claro
2024-11-13 17:37:21,Azul Muy Claro
2024-11-13 17:37:38,Cian
2024-11-13 17:37:41,Azul Claro
2024-11-13 17:37:46,Cian
2024-11-13 17:37:51,Azul Muy Claro
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:36:27,Cian
2024-11-13 17:36:32,Cian
2024-11-13 17:36:37,Cian
2024-11-13 17:36:43,Cian
2024-11-13 17:36:50,Azul Muy Claro
2024-11-13 17:37:21,Azul Muy Claro
2024-11-13 17:37:38,Cian
2024-11-13 17:37:41,Azul Claro
2024-11-13 17:37:46,Cian
2024-11-13 17:37:51,Azul Muy Claro
2024-11-13 17:38:03,Azul Muy Claro
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:36:27,Cian
2024-11-13 17:36:32,Cian
2024-11-13 17:36:37,Cian
2024-11-13 17:36:43,Cian
2024-11-13 17:36:50,Azul Muy Claro
2024-11-13 17:37:21,Azul Muy Claro
2024-11-13 17:37:38,Cian
2024-11-13 17:37:41,Azul Claro
2024-11-13 17:37:46,Cian
2024-11-13 17:37:51,Azul Muy Claro
2024-11-13 17:38:03,Azul Muy Claro
2024-11-13 17:38:19,Cian
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:36:27,Cian
2024-11-13 17:36:32,Cian
2024-11-13 17:36:37,Cian
2024-11-13 17:36:43,Cian
2024-11-13 17:36:50,Azul Muy Claro
2024-11-13 17:37:21,Azul Muy Claro
2024-11-13 17:37:38,Cian
2024-11-13 17:37:41,Azul Claro
2024-11-13 17:37:46,Cian
2024-11-13 17:37:51,Azul Muy Claro
2024-11-13 17:38:03,Azul Muy Claro
2024-11-13 17:38:19,Cian
2024-11-13 17:38:24,Cian
2024-11-13 17:35:22,Cian
2024-11-13 17:35:30,Cian
2024-11-13 17:36:21,Cian
2024-11-13 17:36:27,Azul Muy Claro
2024-11-13 17:36:27,Cian
2024-11-13 17:36:32,Cian
2024-11-13 17:36:37,Cian
